Name,Full name,Description,Location,Coordinates,URL,Version,DNSSEC validation,No logs,Namecoin,Resolver address,Provider name,Provider public key,Provider public key TXT record
fvz-rec-gb-lon-01,"opennic-fvz-rec-gb-lon-01 in London, United Kingdom","Fusl's public OpenNIC Tier2 DNS Resolver in London, United Kingdom - Sponsored by Konsole (https://konsole.co.uk/)","London, United Kingdom",,http://meo.ws/dnsrec.php,1,no,yes,yes,93.170.96.119,2.dnscrypt-cert.fvz-rec-gb-lon-01.dnsrec.meo.ws,DDD8:847B:B3E8:DDE2:AB59:DB53:5381:8024:2032:E3FD:C5A2:C48A:C527:B77F:15CC:D28C,
fvz-rec-gb-lon-03,"opennic-fvz-rec-gb-lon-03 in London, United Kingdom","Fusl's public OpenNIC Tier2 DNS Resolver in London, United Kingdom - Sponsored by dediserve (https://dediserve.com/)","London, United Kingdom",,http://meo.ws/dnsrec.php,1,no,yes,yes,95.154.236.104,2.dnscrypt-cert.fvz-rec-gb-lon-03.dnsrec.meo.ws,972C:778B:8F32:21DB:E10B:B13B:6AFF:FED5:EE85:C526:844A:6662:6E05:FD44:5571:0597,
fvz-rec-hk-ztw-01,"opennic-fvz-rec-hk-ztw-01 in Tsuen Wan, Hong Kong","Fusl's public OpenNIC Tier2 DNS Resolver in Tsuen Wan, Hong Kong - Sponsored by dediserve (https://dediserve.com/)","Tsuen Wan, Hong Kong",,http://meo.ws/dnsrec.php,1,no,yes,yes,103.53.199.71,2.dnscrypt-cert.fvz-rec-hk-ztw-01.dnsrec.meo.ws,FD3A:5CE0:FD44:D174:681F:F008:7958:9EC8:8D4B:B2D9:32A2:2746:FEAD:77F7:3992:33FA,
fvz-rec-ie-du-01,"opennic-fvz-rec-ie-du-01 in Dublin, Ireland","Fusl's public OpenNIC Tier2 DNS Resolver in Dublin, Ireland - Sponsored by dediserve (https://dediserve.com/)","Dublin, Ireland",,http://meo.ws/dnsrec.php,1,no,yes,yes,217.78.6.191,2.dnscrypt-cert.fvz-rec-ie-du-01.dnsrec.meo.ws,DCAF:BA31:C7A9:5F68:FE40:3C69:FE1A:CFF5:CD4C:400D:7DE7:7DEA:1AF4:8F8D:7669:8DFB,
fvz-rec-no-osl-01,"opennic-fvz-rec-no-osl-01 in Oslo, Norway","Fusl's public OpenNIC Tier2 DNS Resolver in Oslo, Norway - Cloud.net (https://cloud.net/)","Oslo, Norway",,http://meo.ws/dnsrec.php,1,no,yes,yes,91.247.228.155,2.dnscrypt-cert.fvz-rec-no-osl-01.dnsrec.meo.ws,0D0C:CDB0:DAF0:2EDF:E340:2251:D9CA:9EAE:BFD0:6F00:7A00:560C:FD53:78D1:2CE3:F4AA,
fvz-rec-nz-akl-01,"opennic-fvz-rec-nz-akl-01 in Auckland, New Zealand","Fusl's public OpenNIC Tier2 DNS Resolver in Auckland, New Zealand - Sponsored by Zappie Host (https://zappiehost.com/)","Auckland, New Zealand",,http://meo.ws/dnsrec.php,1,no,yes,yes,185.99.132.5,2.dnscrypt-cert.fvz-rec-nz-akl-01.dnsrec.meo.ws,D7F2:D231:33BD:2A55:DF4F:C2E8:53FC:43C3:525F:423A:518F:0DC4:5A67:9E35:D940:314B,
fvz-rec-nz-akl-01-ipv6,"opennic-fvz-rec-nz-akl-01 in Auckland, New Zealand (IPv6)","Fusl's public OpenNIC Tier2 DNS Resolver in Auckland, New Zealand (IPv6) - Sponsored by Zappie Host (https://zappiehost.com/)","Auckland, New Zealand",,http://meo.ws/dnsrec.php,1,no,yes,yes,[2a06:1280:bee1::dea:5]:443,2.dnscrypt-cert.fvz-rec-nz-akl-01.dnsrec.meo.ws,D7F2:D231:33BD:2A55:DF4F:C2E8:53FC:43C3:525F:423A:518F:0DC4:5A67:9E35:D940:314B,
fvz-rec-us-ler-01,"opennic-fvz-rec-us-ler-01 in Lenoir, United States","Fusl's public OpenNIC Tier2 DNS Resolver in Lenoir, United States - Sponsored by Zappie Host (https://zappiehost.com/)","Lenoir, United States",,http://meo.ws/dnsrec.php,1,no,yes,yes,192.209.63.8,2.dnscrypt-cert.fvz-rec-us-ler-01.dnsrec.meo.ws,962D:FF03:6864:E891:0885:91AC:C207:1E38:0D94:1531:7123:3D32:9A25:DB25:CDD2:7EBE,
fvz-rec-us-mia-01,"opennic-fvz-rec-us-mia-01 in Miami, United States","Fusl's public OpenNIC Tier2 DNS Resolver in Miami, United States - Sponsored by evoBurst (http://evoburst.com/)","Miami, United States",,http://meo.ws/dnsrec.php,1,no,yes,yes,173.44.61.182,2.dnscrypt-cert.fvz-rec-us-mia-01.dnsrec.meo.ws,B864:FA77:A58F:F757:6B53:1086:BDF0:6B2F:7D33:1D09:E561:236E:A9ED:557F:F6C3:B7F1,
ipredator,Ipredator.se Server,Public DNSCrypt server in Sweden provided by Ipredator.se,Sweden,,https://www.ipredator.se,1,no,yes,no,194.132.32.32:443,2.dnscrypt-cert.ipredator.se,C44C:566A:A8D6:46C4:32B1:04F5:3D00:961B:32DC:71CF:1C04:BD9E:B013:E480:E7A4:7828,pubkey.resolver2.ipredator.se
ns0.dnscrypt.is,"ns0.dnscrypt.is in Reykjavík, Iceland","DNSSEC enabled, non-logging, uncensored. Sponsored by 1984 Hosting.","Reykjavík, Iceland",,https://dnscrypt.is,1,yes,yes,no,93.95.228.87:443,2.dnscrypt-cert.ns0.dnscrypt.is,EE41:6A83:451C:218F:37B2:B736:78C4:999F:7DE6:89D1:31D2:7866:7C8E:A8BB:1C95:B402,pubkey.ns0.dnscrypt.is
okturtles,okTurtles,For a surveillance-free world. HTTPS is broken. DNSChain fixes it.,"Georgia, US","33.032501, -83.895699",http://okturtles.com/,1,no,yes,yes,23.226.227.93:443,2.dnscrypt-cert.okturtles.com,1D85:3953:E34F:AFD0:05F9:4C6F:D1CC:E635:D411:9904:0D48:D19A:5D35:0B6A:7C81:73CB,
opennic-tumabox,TumaBox,Public DNS server operated by TumaBox.org,Germany,,http://wiki.tumabox.org/doku.php?id=dns,1,no,yes,no,130.255.73.90:5353,2.tumabox.org,D591:7B11:6A35:3114:C238:AA99:A6EB:0C28:7CF7:6805:41AC:5DBF:A8A0:239E:228C:5B06,
ovpnto-ro,OpenNIC OVPN.to Romania,by oVPN.to VPN and Proxy service,Romania,,https://ovpn.to,1,no,yes,yes,93.115.92.252:5353,2.dnscrypt-cert.opennic-dns-ro1.ovpn.to,C665:8FFD:3D64:FC86:DD2C:87D1:0DDA:6069:C0ED:2C71:5E8D:9705:2C21:C12F:8153:EC14,
ovpnto-se,OpenNIC OVPN.to Sweden,by oVPN.to VPN and Proxy service,Sweden,,https://ovpn.to,1,no,yes,yes,95.215.46.195:5353,2.dnscrypt-cert.sweden.ovpn.to,1014:0662:B5D6:B65B:6F55:4367:A77C:A057:DA1A:CE6A:D9ED:1C1F:040E:80A5:895C:83F5,
ovpnto-se-ipv6,OpenNIC OVPN.to Sweden over IPv6,by oVPN.to VPN and Proxy service,Sweden,,https://ovpn.to,1,no,yes,yes,[2a02:7aa0:1619::c434:714c]:5353,2.dnscrypt-cert.sweden.ovpn.to,1014:0662:B5D6:B65B:6F55:4367:A77C:A057:DA1A:CE6A:D9ED:1C1F:040E:80A5:895C:83F5,
shea-us-noads,"Shea Family's Ad-Blocking Resolver in Virginia, USA","Ad-blocking, Google-Public-DNS-forwarding, DNSSEC-validating DNSCrypt server provided by Shea Family. All logs are anonymized.","Virginia, United States",,,1,yes,no,no,104.239.160.114:443,2.dnscrypt-cert.resolver.shea.ninja,ECFF:55E0:1B4F:BA77:3808:559E:ABBB:A707:81A3:4E45:B644:20F9:7BB8:9098:2A41:FA77,pubkey.resolver.shea.ninja
shea-us-noads-ipv6,"Shea Family's Ad-Blocking Resolver in Virginia, USA over IPv6","Ad-blocking, Google-Public-DNS-forwarding, DNSSEC-validating DNSCrypt server provided by Shea Family. All logs are anonymized.","Virginia, United States",,,1,yes,no,no,[2001:4802:7801:104:be76:4eff:fe21:79c]:443,2.dnscrypt-cert.resolver.shea.ninja,ECFF:55E0:1B4F:BA77:3808:559E:ABBB:A707:81A3:4E45:B644:20F9:7BB8:9098:2A41:FA77,pubkey.resolver.shea.ninja
soltysiak,Soltysiak,Public DNSCrypt server in Poland,Poland,"52.4014619, 16.9278078",http://dc1.soltysiak.com/,1,yes,yes,yes,178.216.201.222:2053,2.dnscrypt-cert.soltysiak.com,25C4:E188:2915:4697:8F9C:2BBD:B6A7:AFA4:01ED:A051:0508:5D53:03E7:1928:C066:8F21,pubkey.dc1.soltysiak.com
soltysiak-ipv6,Soltysiak over IPv6,Public DNSCrypt server in Poland,Poland,"52.4014619, 16.9278078",http://dc1.soltysiak.com/,1,yes,yes,yes,[2001:470:70:4ff::2]:2053,2.dnscrypt-cert.soltysiak.com,25C4:E188:2915:4697:8F9C:2BBD:B6A7:AFA4:01ED:A051:0508:5D53:03E7:1928:C066:8F21,pubkey.dc1.soltysiak.com
yandex,Yandex,Yandex public DNS server,Anycast,,https://www.yandex.com,1,no,no,no,77.88.8.78:15353,2.dnscrypt-cert.browser.yandex.net,D384:C071:C9F7:4662:AF2A:CCD5:7B5D:CC97:14D4:07B6:AD36:01E1:AEDC:06D5:6D49:6327,
